,phrase,target
73,operating profit excluding non recurring items totalled eur mn eur mn,negative
74,separate announcement helsinki stock exchange atria revealed company third quarter profits declined eur third quarter last year eur year q,negative
75,finnish financial software solutions developer basware oyj said net profit fell euro mln first quarter mln euro mln year earlier,negative
76,company profit totaled ls h year on year,negative
77,okmetic expects net sales first half less,negative
78,london marketwatch share prices ended lower london monday rebound bank stocks failed offset broader weakness ftse,negative
79,finnish glass technology company glaston oyj abp net profit decreased mln euro mln first nine months mln euro mln period,negative
80,operating result month period decreased profit eur turnover decreased eur compared,negative
81,finnish electronics manufacturing services ems company elcoteq se posted net loss mln euro mln first half compared net profit mln euro mln period,negative
82,company reported today operating loss eur net sales eur first quarter,negative
83,agricultural newspaper maaseudun tulevaisuus readers representing decrease,negative
84,operating profit continuing operations fell eur mn eur mn first half,negative
85,sales seppala diminished per cent,negative
86,building home improvement trade net sales totalled eur mn eur mn year earlier,negative
87,finland city forssa said pay compensation food industry companies hk ruokatalo atria lye leak tap water occurred march,negative
88,operating loss totalled eur mn compared loss eur mn corresponding period,negative
89,finnish metal products company componenta oyj net profit went slightly mln euro mln first half mln euro mln period,negative
90,october finnish environmental management company lassila tikanoja oyj hel lat v l said monday expects operating profit excluding non recurring items whole slightly lower,negative
91,however company saw net profit third quarter eur eur corresponding period,negative
92,according ceo matti perkonoja parent company hkscan company performance first quarter remained clearly level corresponding period,negative
93,profit taxes decreased eur mn eur mn year,negative
94,net sales fell previous accounting period,negative
95,april finnish construction engineering company outotec oyj hel ote v said today slipped net loss eur first quarter net profit eur corresponding period last year,negative
96,finnish communication electronics components supplier scanfil oyj tuesday said sales first half lower period year ago,negative
97,jp morgan expects scala lower nobel biocare growth forecast current guidance pct well operating margin target current pct,negative
98,omx helsinki index pct turnover mln eur,negative
99,airline estimated cancellation flights due closure european airspace process recommencing traffic caused company loss eur m including costs stranded passengers accommodation,negative
100,finnish electronics contract manufacturer scanfil reports net sales eur mn eur mn,negative
101,food sales totalled eur mn october representing decrease october,negative
102,fourth quarter net sales decreased eur mn eur mn fourth quarter,negative
103,pretax profit decreased eur mn eur mn fourth quarter,negative
104,february finland based steel maker rautaruukki oyj hel rtrks ruukki said today slipped larger than expected pretax loss eur m fourth quarter year earlier profit eur m,negative
105,cash flow investments amounted eur m eur m,negative
106,vaisala net profit third quarter dropped mln euro mln mln euro mln period,negative
107,sales tiimari segment fell year on year eur june,negative
108,samsung currently occupies third place lost ground quarter dropping share overall,negative
109,prices delivery volumes broadband products decreased significantly,negative
110,operating profit excluding non recurring items totalled eur mn eur mn corresponding period,negative
111,finnish meat company atria longer promise sufficient amount domestic beef customers,negative
112,finnair total traffic decreased terms revenue passenger kilometres,negative
113,finnair said cancellation flights would cause daily losses x ac million us million,negative
114,repeats sees operating profit y y reporting helsinki newsroom keywords tecnomen result,negative
115,finnish technology company raute corporation omx helsinki rutav issued tuesday september profit warning financial year,negative
116,cash flow operations recent quarter also reached eight year low,negative
117,eps dropped eur eur,negative
118,profit period eur mn eur mn,negative
119,finnish suominen corporation makes wipes nonwovens flexible packaging expects changes market situation reduce sales suominen nonwovens wet wipes previously estimated volumes,negative
120,pretax loss totalled eur mn compared loss eur mn corresponding period,negative
121,announcement pushed freenet shares eur frankfurt trade eur investors gave hope united internet ag drillisch would pursue takeover breakup freenet,negative
122,l net profit whole dropped eur million eur million,negative
123,publishing sweden operating loss eur mn q compared profit eur mn year ago,negative
124,fair value company investment properties went eur bn end september eur bn year earlier,negative
125,finnish investment group norvestia oyj said net profit fell mln euro mln mln euro mln,negative
126,however net sales declined eur million eur billion,negative
127,loss period totalled eur mn compared profit eur mn,negative
128,operating loss totaled eur mn compared profit eur mn corresponding period,negative
129,adp news apr finnish business information systems developer solteq oyj hel stq v said today net loss widened eur usd first quarter eur per,negative
130,coca cola market leader manufacturers market share corresponding period,negative
131,finnish electronics contract manufacturer scanfil net sales eur mn first quarter eur mn year,negative
132,net sales finnish sanoma learning literature finnish media group sanoma decreased january june totalling eur mn eur mn corresponding period,negative
133,net sales eaten weak us dollar,negative
134,furthermore sales new passenger cars light commercial vehicles country declined year on year last month,negative
135,comptel slipped net loss eur profit eur previous year,negative
136,finnish exel composites technology company designs manufactures markets composite profiles tubes various industrial applications reports net sales decreased second quarter eur mn eur mn corresponding period,negative
137,company profit taxes fell eur mn third quarter compared eur mn corresponding period,negative
138,operating margin aker yards cruise ferries division went first quarter,negative
139,finnish business software group affectogenimap oyj said net profit halved mln euro mln first nine months mln euro mln period,negative
140,ruukki group calculates lost eur mn failed project,negative
141,operating margin came,negative
142,july september konecranes sales decreased eur mn eur mn july september,negative
143,finnish media company talentum oyj net profit decreased mln euro mln first quarter mln euro mln period,negative
144,sales finland decreased international sales decreased terms euros terms local currencies,negative
145,operating profit fell eur mn eur mn including vessel sales gain eur mn,negative
146,scanfil issued profit warning april,negative
147,profit taxes amounted eur mn eur mn year ago,negative
148,result also burdened increased fixed costs associated operations china restructuring costs japan,negative
149,operating profit totaled eur mn eur mn corresponding period,negative
150,operating profit margin compared year earlier,negative
151,operating loss totalled eur mn compared profit eur mn second quarter,negative
152,finnish shipping company finnlines pretax loss totalled eur mn third quarter compared profit eur mn third quarter,negative
153,upm kymmene corp world largest maker magazine paper tuesday reported percent profit drop lower paper prices higher costs strong euro hurt revenue,negative
154,commission income decreased eur mn compared eur mn third quarter,negative
155,subscription sales decreased slightly,negative
156,cerberus capital management lp backed printing paper maker newpage corp posted mixed second quarter results casting cloud planned initial public offering,negative
157,operating profit lower outlook published earlier,negative
158,finnish plumbing heating systems supplier uponor net sales continuing operations decreased eur mn eur mn,negative
159,operating profit totalled eur mn eur mn year,negative
160,revenue quarter totaled billion percent billion fourth quarter,negative
161,fair value company investment properties went eur billion end eur billion year earlier,negative
162,nokia shares hit euros friday percent start year part slow introduction touch screen models,negative
163,operating profit decreased eur mn eur mn,negative
164,result taxes decreased nearly eur mn compared nearly eur mn previous accounting period,negative
165,finnish power supply solutions systems provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal,negative
166,comparable operating profit totaled eur mn eur mn corresponding period representing net sales,negative
167,operating loss totalled eur mn compared profit eur mn first half,negative
168,adp news feb finnish construction company lemminkainen oyj hel lem s said today net profit decreased eur million usd eur million,negative
169,finland bank land reports operating profit fell eur mn second quarter eur mn second quarter,negative
170,talentum net sales september smaller expected,negative
171,lassila tikanoja operating profit excluding non recurring imputed items second quarter eur eur year ago,negative
172,operating profit totalled eur mn eur mn first half,negative
173,consolidated operating profit continuing operations decreased eur mn eur mn,negative
174,earnings per share eps decreased eur eur,negative
175,based first quarter result existing order backlog new order prospects company expects full year sales contract gross margin stay healthy level operating profit margin lower due lower sales volume,negative
176,pretax loss totaled eur mn compared loss eur mn corresponding period,negative
177,adpnews feb finnish real estate investor sponda oyj hel sda v said today slipped net loss eur million usd profit eur million,negative
178,currency effect pct mln euro mln negative impact revenue,negative
179,operating profits half glisten invested brand management team,negative
180,operating profit excluding non recurring items totaled eur mn eur mn corresponding period,negative
181,elcoteq group recently announced last three months previous year brought major loss half billion kroons eur mln fifth quarter running,negative
182,finnish management software solutions provider ixonos oyj net profit decreased euro first quarter euro mln period,negative
183,sales mid strength beer decreased,negative
184,net cash operating activities negative eur mn compared eur mn,negative
185,finnish geosentric net sales decreased eur january march,negative
186,according finnish petrol station chain st managing director kim wiio company forced make purchases rising prices first half consumer prices going almost daily due competition,negative
187,upm stock fell percent euro early afternoon trading helsinki,negative
188,net sales dropped year on year eur million,negative
189,however orders received period review fell quarter on quarter eur million recorded second quarter,negative
190,operating loss pulp paper machinery unit eur mn september august compared profit eur mn year earlier,negative
191,baltic countries sales fell russia terms euros terms local currency,negative
192,raute reported loss per share eur first half eps eur corresponding period,negative
193,operating profit fell eur mn eur mn,negative
194,finnish bank land reports operating profit eur mn first quarter eur mn corresponding period,negative
195,sales volume coca cola market share decreased,negative
196,finnish waste management cleaning group lassila tikanoja oyj l net profit went mln euro mln mln euro mln,negative
197,return investment roi compared first half,negative
198,cramo slipped pretax loss eur million pretax profit eur million,negative
199,comparable operating profit decreased eur mn eur mn corresponding period,negative
200,finnish shipping company finnlines grimaldi group reports net sales decreased eur mn january june eur mn corresponding period,negative
201,earnings per share eps dropped eur eur,negative
202,net profit three months march fell x ac million us million x ac million year earlier finnish company said,negative
203,august finnish measuring equipment maker vaisala oyj hel vaias said today net loss widened eur first half eur corresponding period year earlier,negative
204,building home improvement trade sales decreased eur mn,negative
205,capital expenditure energy efficiency unfortunately fallen along decline economy,negative
206,diluted earnings per share eps declined eur eur,negative
207,reported operating margin negative,negative
208,operating profit eur mn compared eur mn,negative
209,period sales dropped eur eur according interim report released today,negative
210,operating profit fourth quarter fell eur m eur m year earlier,negative
211,adp news jan finnish mobile phones maker nokia oyj omx nok v said today operating profit decreased eur billion usd bn eur billion,negative
212,total mn passenger ship journeys took place northern baltic sea slightly mn,negative
213,company said sales three months end march slid eur us eur last year,negative
214,pharmaceuticals group orion corp reported fall third quarter earnings hit larger expenditures r marketing,negative
215,relations city damaged comments mr ashley criticising city investors analysts cry babies,negative
216,period sales dropped eur million eur million according interim report released today,negative
217,operating profit totalled eur mn eur mn first quarter,negative
218,operating profit fell eur mn eur mn second quarter,negative
219,company slipped operating loss eur million profit eur million,negative
220,dealers said share largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur year amid fall volumes tanker rates,negative
221,growth rate paying national debt extremely painful,negative
222,stora enso oyj said second quarter result would fall half compared period,negative
223,finnish kemira net sales eur decreased eur mn january june eur mn january june,negative
224,making matters difficult company said grappling higher oil gas prices pushed cost energy raw materials transportation,negative
225,device volume area decreased mn units,negative
226,last year million passengers flew airline percent,negative
227,earlier today geberit finnish rival uponor oyj cut full year sales growth forecast pct pct blaming tough conditions germany us well currency factors,negative
228,adpnews aug finnish media group ilkka yhtyma oyj hel ilk s said today net profit fell year eur million usd first half,negative
229,cet arcelormittal lost eur euronext paris coming lead blue chip fallers,negative
230,external net sales printing business fell partly due termination printing contract ilkka yhtyma printing house i print oy sector player hss media ab december fall printing prices,negative
231,sampo bank market share lending first quarter,negative
232,therefore company result remain weaker,negative
233,baltic countries sales fell,negative
234,operating loss amounted eur mn compared profit eur mn second quarter,negative
235,helsinki thomson financial shares cargotec fell sharply early afternoon trade cargo handling group posted surprise drop april june profits overshadowed large number new orders received three months,negative
236,cardona slowed vehicle turned around returned intersection called,neutral
237,market data analytics derived primary secondary research,neutral
238,exel headquartered mantyharju finland,neutral
239,tampere science parks finnish company owns leases builds office properties specialises facilities technology oriented businesses,neutral
240,oxyview pulse oximeter common device check patient blood oxygen saturation level pulse rate,neutral
241,componenta production lines similar sized products karkkila finland weert netherlands orhangazi turkey combined output approximately tonnes net sales eur million,neutral
242,le lay succeeds walter g nter based finland,neutral
243,total scope project square metres valued total around eur m,neutral
244,offer price million including cash million net debt assumption face million worth cencorp shares issued savcor,neutral
245,acquisition expected take place end august,neutral
246,sale savcor group ltd comprise savcor art corporate function investment cencorp corporation,neutral
247,invention released patent office said non coherent search matrix formed said correlation function matrix,neutral
248,jensen njastein mike critch head dovre north america business unit report toivola,neutral
249,space blond wood floors unlike rest store notably scandinavian vibe,neutral
250,capital structure solidium may complemented financial instruments future,neutral
251,company plant russia continue make tyres near markets plant nokia finland manufacture tyres markets,neutral
252,subscribers china unicom nation second largest mobile phone operator china mobile expected release pictures videos blog internet via mobile phones march,neutral
253,inaugural speech given hannu kyrolainen finland ambassador czech republic,neutral
254,alexandria va march jaakko vilo turku finland developed panel press,neutral
255,finnish food industry company l nnen tehtaat planning changes fish product business,neutral
256,cargotec business areas also include container handling solutions business area kalmar marine cargo handling offshore load handling solutions business area macgregor,neutral
257,residents access block planned aleksandri street,neutral
258,stichting pensioenfonds abp shares representing share capital voting rights,neutral
259,unaudited consolidated results aspocomp group ifrs reporting standards,neutral
260,changes as built models design communicated subcontractors accommodate steel grc glass reinforced concrete fabrication process,neutral
261,customers include hotels restaurants well wholesalers retailers,neutral
262,finland five largest brands control beer market,neutral
263,motorola inc united states came second shipments million units percent market share followed south korea samsung electronics co shipments million units percent share,neutral
264,donations granted aalto university universities helsinki tampere turku eastern finland jyv skyl oulu vaasa polytechnics announced later,neutral
265,metsa botnia finance payment dividends repayment capital repurchase shares funds deriving divestment uruguay operations shares pohjolan voima utilising existing financing facilities,neutral
266,closing transaction scheduled take place january,neutral
267,company said results third quarter include non recurring items,neutral
268,company net sales acquired finland european countries asia us,neutral
269,maximum new shares subscribed exercising b options stock option plan,neutral
270,expansion finalized autumn,neutral
271,viking pay eur million new ship completed january,neutral
272,extracted filtrates high clarity dried filter cakes meet required transport moisture limits tmls ore grades,neutral
273,koff market share volume market karhu,neutral
274,transaction planned financed eur m market based loan granted standard chartered bank hong kong,neutral
275,value order eur mn,neutral
276,beers differ slightly mainstream beers,neutral
277,size cider bottle remain unchanged,neutral
278,filmiteollisuus fine ab transferred talentum oyj form subsidiary,neutral
279,customers include local companies slo oy kiilto oy toptronics oy normark suomi oy pellonpaja oy mansner oy,neutral
280,buildings condominiums built stages,neutral
281,eu law issue may introduced around,neutral
282,fourth quarter oko banks expects operating environment banking investment services remain similar january september,neutral
283,following registration number issued outstanding shares basware,neutral
284,tieto service also used send process receive materials related absentee voting,neutral
285,value three year contract estimated eur m,neutral
286,hayward calif based target designs active casual dress footwear well boots sandals,neutral
287,honkarakenne starts production need partner sawmill operations,neutral
288,subject matter invention furthermore use cyclone separating partly molten particles,neutral
289,order valued usd,neutral
290,interim report first quarter published may,neutral
291,transaction agreement metsaliitto purchase metsa botnia shares upm m real,neutral
292,marathon estimates value remaining stake protalix million,neutral
293,industry asia pakistan malaysia taiwan philippines today global research data services going publish several market analyses cement markets asia,neutral
294,local government commissioner m l kurt svensson says contact management finnish company componenta find alternatives company decision close plant m l,neutral
295,helsinki afx salcomp mobile phone charger manufacturer said appointed markku hangasjarvi new ceo following resignation mats eriksson,neutral
296,chartered accountant british columbia alberta well certified public accountant washington state,neutral
297,five storey eco efficient building gross floor area sq also include apartments,neutral
298,changes media activity seen october compared september,neutral
299,fancy dans move fab glasgow gift interiors store fancy dans moving,neutral
300,company reported profit euro mln sale varesvuo partners sub group loss euro caused sale program production subsidiary oy filmiteollisuus fine ab,neutral
301,deal includes entire personnel planmill oy transfer new company so called old employees,neutral
302,tikkurila powder coatings employees four paint plants generated revenues eur usd,neutral
303,tecnomen headquartered espoo finland develops messaging charging solutions telecomms operators service providers worldwide,neutral
304,eur million non recurring expenses recorded third quarter,neutral
305,group loyal customer magazine yhteishyv came second readers sanoma corporation daily newspaper helsingin sanomat third readers,neutral
306,profit taxes eur million,neutral
307,number customers one important parameters determining price electricity networks,neutral
308,fixed term contract mr jarmo ukonaho current general manager incap indian operations finish end year,neutral
309,product portfolio comprises harvesters forwarders harvester heads well cranes loaders,neutral
310,increase range vary,neutral
311,cvs proposed members available viewing march onwards internet www sampo com ir,neutral
312,altogether subjects mildly elevated cholesterol levels participated four month long intervention,neutral
313,tecnomen convergent charging solution includes functionality prepaid post paid billing charging rating voice calls video calls raw data traffic type content services mobile fixed networks,neutral
314,investment investment activity communication relates available relevant persons engaged relevant persons,neutral
315,registration required,neutral
316,u s based corp talks scandinavian telecoms company teliasonera sell stake uzbek cellular operator coscom executive coscom told interfax,neutral
317,vehvilainen currently chief operating officer nokia siemens networks join finnair january take ceo effective february,neutral
318,nd disclosed,neutral
319,final price specified may acquiring company said,neutral
320,dragonfly love another video shot start finish using nokia n,neutral
321,profit taxes eur million,neutral
322,finnish suominen corporation makes wipes nonwovens flexible packaging plant near warsaw poland makes flexible packaging,neutral
323,company propose dividend eur per share,neutral
324,upm kymmene www upm kymmene com produces magazine papers newsprint well fine specialty papers converting materials wood products,neutral
325,kauko telko centralized administration dissolved appropriate parts transferred operating activities group administration end year,neutral
326,preliminary estimate hotel operate brand novotel,neutral
327,abn represent voting rights share capital citycon oyj,neutral
328,sellers include shareholders including intellibis management employees investors,neutral
329,commenting deal shane lennon svp marketing product development gypsii said,neutral
330,since registration shares subscribed directed share issue new number panostaja shares voting rights,neutral
331,remaining amount funded debt danish bank said,neutral
332,poyry plccompany announcement december p m pursuant poyry plc stock option program new shares company subscribed since october stock options b,neutral
333,power supplies dc power systems inverters designed manufactured efore systems incorporating used many different applications,neutral
334,sampo housing loan bank unit finland sampo bank priced eur bn usd bn bond reuters reported,neutral
335,rapala vmc corporation rapala finland based company engaged manufacture distribution fishing equipment accessories,neutral
336,prior transaction whose financial terms disclosed alma media owned kotikokki net,neutral
337,appointments force new ceo appointed,neutral
338,annual general meeting approved yearly remuneration members board directors shall remain eur chairman board eur deputy chairman board eur members board,neutral
339,total floor area plant expansion square metres,neutral
340,juha haapakoski continue editor in chief budget responsibility also new publisher,neutral
341,financialwire tm press release service receives compensation news opinions distributions,neutral
342,customers wide range industries use stainless steel services worldwide,neutral
343,currently quarterly applied surcharges differ significantly actual market prices,neutral
344,non recurring costs caused talentum premedia business area restructuring amount mln euro mln included company financial results second quarter,neutral
345,closing transaction took place today,neutral
346,estimated annual value frame agreement eur mn,neutral
347,international conference call audio webcast concerning financial result january march begin eet,neutral
348,today business pre empt consumers want said mohammed zainalabedin general manager zain bahrain,neutral
349,beginning subscription period may share subscription price b option right eur per share,neutral
350,according finnish scanfil founder chairman board jorma j takanen company look growth abroad,neutral
351,tyrv inen opinion airline repeating time already however,neutral
352,company distribute dividend,neutral
353,elcoteq se europe largest contract electronics maker set unit bangalore association avista advisory mumbai,neutral
354,addus services include personal care assistance activities daily living skilled nursing rehabilitative therapies adult day care,neutral
355,company give palm oil altogether however,neutral
356,credit covers approximately ship price,neutral
357,last july group said intended relocate warehouse office space loudeac saint marcel morvillars east france already operates hook manufacturing distribution unit,neutral
358,new chain discount stores supermarkets,neutral
359,end march company loans amounted eur mn,neutral
360,following demerger vice president group pharmaceutical trade finland jukka niemi appointed managing director oriola addition current responsibilities,neutral
361,finnish investment company neomarkka main owner kuitu finland successor,neutral
362,indigo somoncom serve subscribers market share approximately may,neutral
363,providing managed services nokia takes responsibility building operating transferring well optimising indosat g network,neutral
364,aldata solution oyj bertrand sciard president ceo information aldata solution oyj bertrand sciard president ceo tel aldata retail wholesale aldata business dedicated retail wholesale business improvement,neutral
365,okmetic closed plant espoo early production lines site moved okmetic plants vantaa finland texas usa,neutral
366,tiimari registered share capital shares per today,neutral
367,july market cap segments updated according average price may,neutral
368,financial pricing details disclosed,neutral
369,tecnomen solution used prepaid post paid billing charging rating voice video calls data traffic kind content services mobile fixed networks,neutral
370,dividend payable february shareholders record january,neutral
371,internal revenue service sees percent taxpayers wait last two weeks file million returns filed april,neutral
372,company serves customers various industries including process resources industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy information technology well catering households,neutral
373,total investment necessary eur m company estimated,neutral
374,company designs manufactures markets advanced composite products industrial applications consumer goods cross country alpine nordic walking poles floorball sticks antenna radomes,neutral
375,according preliminary data slovakia statistics office goods worth e million imported finland january october making percent slovakia total imports,neutral
376,stockholm march cybercom cybercom group high tech consultancy offers global sourcing end to end solutions,neutral
377,operates three distinct brands united supermarkets market street united supermercado,neutral
378,kemira partner project st petersburg water works,neutral
379,bridge km long located anasmotet road e new traffic junction marieholm road e,neutral
380,developed symbian software licensing consortium led nokia,neutral
381,platform based built intel second generation mid platform called moorestown,neutral
382,sinter plant limestone coke breeze mixed iron ore concentrate sintered lump form sinter use blast furnaces raw material iron making,neutral
383,exel composites brief exel composites technology company designs manufactures markets composite profiles tubes industrial applications,neutral
384,method smelt spouts separated working area shielding wall arranged movable relation smelt spouts,neutral
385,alexandria va may kenneth bower vista calif developed ornamental design handset u s patent trademark office announced,neutral
386,says brian burton head security vodafone uk,neutral
387,bond maturity five years part bank domestic bond program,neutral
388,following issue new shares constitute percent firm capital,neutral
389,mall part baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company developing homes people,neutral
390,master business administration mba,neutral
391,came aspo chemicals aspo shipping aspo systems,neutral
392,deal subject approval norwegian competition authorities,neutral
393,paper mill central maine town madison soon new owner,neutral
394,order also includes start up commissioning services,neutral
395,closing transaction took place today,neutral
396,devices would launched chinese market late company said,neutral
397,may companiesandmarkets com delivered newstex report provides key data information meat fish poultry market finland,neutral
398,total project duration three years valued eur,neutral
399,name company holdings acquired citycon oyj,neutral
400,organization assume responsibility operations russia,neutral
401,one price category calls preferred operator network another calls operators networks,neutral
402,plant expected enter commercial operation mid,neutral
403,contract worth eur million,neutral
404,insurance policies simple,neutral
405,order related renewing network telecommunications operator,neutral
406,contract take effect five ten year period,neutral
407,dinner conference program also viewed live audio webcast internet pages www citycon com,neutral
408,duration contract months,neutral
409,third quarter net sales totaled eur mn operating profit eur mn,neutral
410,market share volkswagen passenger cars finland percent audi market share percent seat share percent,neutral
411,tekla organize information meeting analysts media wtc helsinki marski meeting room aleksanterinkatu day p m light lunch served,neutral
412,new location n t change wellmont store air transport service,neutral
413,marathon percent stake plx said according bloomberg,neutral
414,shares shall acquired according rules nasdaq omx helsinki otherwise according rules related acquisition company shares,neutral
415,accordance terms conditions alma media option program share subscription price option rights eur per share book countervalue eur per share,neutral
416,shares held company number outstanding shares voting rights attached shares amounts thus,neutral
417,exel board directors propose dividend euro per share annual general meeting april,neutral
418,decision reflects underutilisation line produces nonwovens used medical wipes applications well automotive industry,neutral
419,product advisory apply nokia branded battery company said,neutral
420,oka specialises new construction renovation work residential non residential building well premises industrial logistical use,neutral
421,olli pekka laine appointed chairman erkki pehu lehtonen vice chairman board,neutral
422,business divested generates consolidated net sales eur million annually currently employees,neutral
423,alfa group voting stock new company telenor free float,neutral
424,according seikku retail sector finland controlled large actors food manufacturers still relatively small,neutral
425,tekla group net sales approximately million euros operating result million euros,neutral
426,new b shares carry right dividend shareholder rights effect today,neutral
427,rohwedder group automotive supplies telecommunications electronics industry provider customers europe north america asia,neutral
428,teleste hybrid tv solution includes components whole process delivering video services consumers content acquisition service creation delivery range access solutions including hfc hybrid fibre coaxial xdsl etth ftth,neutral
429,release offer securities sale united states elsewhere,neutral
430,pertti ervi independent company major shareholders,neutral
431,following move stora enso holding newpage remain unchanged,neutral
432,passenger ferry dimensions length overall length perpendiculars breadth design draught,neutral
433,outotec scope delivery covers engineering supply special equipment services calcination plant two circulating fluid bed calciners,neutral
434,member oneworld alliance includes american airlines british airways,neutral
435,risk exposure non life insurance moving month expenses function non life insurance excluding expenses investment management expenses services rendered non life insurance investment portfolio allocatio,neutral
436,sponda property investment company specialising commercial properties largest cities finland russia,neutral
437,lemmink inen started manufacture roofing felt production asphalt,neutral
438,contract includes software licences application maintenance training,neutral
439,manufacture cpps undertaken existing export oriented unit eou wartsila factory khopoli near mumbai,neutral
440,request finnish media company alma media newspapers research manager jari kaivo oja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver,neutral
441,kaupthing bank publish annual results markets open thursday january,neutral
442,energy sector accounted approximately steel industry transportation volume,neutral
443,swedish finnish danish listed companies organized three market cap segments nordic large cap mid cap small cap,neutral
444,marimekko operates industry changes business climate reflected consumer demand,neutral
445,changes announced today effective close trading friday june,neutral
